category,fname,prestime,Action_correct,Action_none,Action_wrong,Context_correct,Context_none,Context_wrong,Object_correct,Object_none,Object_wrong,Sensory_correct,Sensory_none,Sensory_wrong,KeyAction,KeyObject,KeyContext
hobby,hobby_playing_basketball.png,83.3,4,1,0,3,0,2,2,2,1,1,4,0,1,2,1
food,food_mixing.png,83.3,2,1,2,3,1,1,0,3,2,1,4,0,0,0,1
cleaning,cleaning_making_bed.png,83.3,4,1,0,0,4,1,2,3,0,2,2,1,0,1,0
cleaning,cleaning_doingLaundry.png,83.3,5,0,0,4,1,0,4,1,0,2,3,0,4,4,0
locomotion,locomotion_skijetting.png,83.3,4,1,0,4,0,1,2,0,3,1,4,0,2,2,2
food,food_baking.png,83.3,3,1,1,1,3,1,2,1,2,0,5,0,0,0,0
communication,communication_punching.png,83.3,5,0,0,0,5,0,2,2,1,1,4,0,2,2,0
locomotion,locomotion_kayaking.png,83.3,3,2,0,5,0,0,4,1,0,0,5,0,0,4,2
cleaning,cleaning_showering.png,83.3,1,4,0,0,3,2,2,2,1,2,3,0,1,0,0
hobby,hobby_playing_baseball.png,83.3,2,3,0,0,5,0,5,0,0,3,2,0,1,4,0
food,food_eating_spoon.png,83.3,4,0,1,4,1,0,4,0,1,4,1,0,4,3,1
communication,communication_typing.png,83.3,4,1,0,4,1,0,4,0,1,1,4,0,2,4,0
hobby,hobby_flying_kite.png,83.3,0,5,0,5,0,0,1,2,2,0,5,0,0,0,2
communication,communication_reading.png,83.3,3,0,2,4,0,1,1,2,2,0,5,0,1,0,1
cleaning,cleaning_cleaning_floor.png,83.3,3,1,1,3,1,1,1,3,1,3,2,0,3,0,0
locomotion,locomotion_running.png,83.3,4,1,0,5,0,0,1,4,0,1,4,0,3,0,5
food,food_grilling1.png,83.3,3,1,1,1,3,1,2,0,3,1,2,2,0,1,0
food,food_smelling.png,83.3,1,1,3,2,2,1,1,3,1,3,2,0,0,0,0
food,food_cutting_zucchini.png,83.3,4,0,1,3,2,0,3,1,1,1,4,0,3,2,2
communication,communication_highfiving.png,83.3,5,0,0,5,0,0,3,2,0,4,1,0,3,2,1
communication,communication_talking.png,83.3,5,0,0,4,0,1,5,0,0,4,1,0,1,3,0
cleaning,cleaning_combing_hair.png,83.3,5,0,0,4,1,0,3,2,0,2,3,0,5,2,1
communication,communication_arguing.png,83.3,3,1,1,5,0,0,3,2,0,3,2,0,2,1,0
hobby,hobby_juggling.png,83.3,2,2,1,4,1,0,3,1,1,4,1,0,0,1,0
cleaning,cleaning_shaving.png,83.3,4,0,1,4,1,0,3,1,1,2,3,0,2,1,1
communication,communication_handshaking.png,83.3,5,0,0,2,3,0,4,0,1,0,5,0,5,2,1
hobby,hobby_dancing.png,83.3,5,0,0,4,0,1,4,1,0,3,2,0,4,2,4
hobby,hobby_eating_hand1.png,83.3,4,0,1,3,2,0,3,0,2,1,4,0,2,0,2
locomotion,locomotion_riding_horse.png,83.3,4,1,0,4,1,0,5,0,0,2,3,0,0,5,1
locomotion,locomotion_climbing.png,83.3,5,0,0,5,0,0,1,3,1,2,3,0,5,1,4
food,food_whisking.png,83.3,4,0,1,4,1,0,3,1,1,3,2,0,4,3,3
locomotion,locomotion_diving.png,83.3,0,3,2,0,5,0,0,5,0,2,2,1,0,0,0
locomotion,locomotion_swimming1.png,83.3,4,1,0,4,1,0,5,0,0,3,2,0,3,4,3
cleaning,cleaning_brushingTeeth.png,83.3,3,0,2,2,1,2,2,2,1,1,4,0,1,1,1
locomotion,locomotion_skiing.png,83.3,4,1,0,4,1,0,5,0,0,3,2,0,4,5,1
cleaning,cleaning_cleaning_window2.png,83.3,3,0,2,0,2,3,1,1,3,2,3,0,1,1,0
locomotion,locomotion_skateboarding1.png,83.3,4,0,1,4,1,0,4,1,0,0,5,0,3,3,0
food,food_grocery_shopping.png,83.3,3,2,0,1,4,0,2,2,1,1,4,0,2,2,0
communication,communication_knocking_door.png,83.3,3,0,2,3,0,2,4,1,0,1,4,0,0,1,0
hobby,hobby_fishing.png,83.3,4,1,0,4,1,0,5,0,0,0,5,0,3,2,4
hobby,hobby_riding_carriage.png,83.3,0,4,1,3,2,0,5,0,0,2,3,0,0,5,2
communication,communication_phoning.png,83.3,3,0,2,4,1,0,5,0,0,5,0,0,2,2,1
cleaning,cleaning_applyingCream.png,83.3,0,1,4,0,4,1,0,4,1,3,1,1,0,0,0
food,food_eating_fork.png,83.3,5,0,0,4,1,0,4,1,0,2,3,0,4,4,2
hobby,hobby_playing_tennis.png,83.3,3,1,1,4,1,0,3,1,1,3,2,0,2,2,3
cleaning,cleaning_washing_face.png,83.3,3,0,2,3,2,0,4,0,1,5,0,0,2,3,3
communication,communication_waving.png,83.3,4,0,1,4,0,1,2,0,3,1,4,0,1,0,2
locomotion,locomotion_hiking1.png,83.3,5,0,0,5,0,0,4,1,0,1,4,0,4,4,5
food,food_seasoning.png,83.3,1,1,3,5,0,0,0,1,4,1,4,0,0,0,4
locomotion,locomotion_riding_bicycle.png,83.3,3,2,0,5,0,0,3,2,0,0,5,0,3,2,2
communication,communication_texting.png,83.3,4,1,0,5,0,0,3,1,1,3,2,0,0,2,2
hobby,hobby_fencing.png,83.3,3,1,1,1,4,0,3,2,0,3,2,0,1,2,1
hobby,hobby_collecting_mushrooms.png,83.3,3,1,1,5,0,0,4,0,1,0,5,0,0,1,4
communication,communication_writing_board2.png,50.0,4,0,1,1,4,0,1,3,1,3,2,0,1,1,0
cleaning,cleaning_cleaning_toilet.png,50.0,1,2,2,0,5,0,1,4,0,2,3,0,0,0,0
hobby,hobby_playing_golf2.png,50.0,1,3,1,4,1,0,1,4,0,4,1,0,1,0,1
cleaning,cleaning_blowdrying.png,50.0,2,1,2,1,4,0,0,2,3,2,3,0,2,0,1
food,food_peeling.png,50.0,2,1,2,0,4,1,0,2,3,3,1,1,0,0,0
hobby,hobby_playing_billards.png,50.0,5,0,0,5,0,0,3,2,0,1,4,0,1,3,0
food,food_toasting.png,50.0,1,3,1,3,1,1,1,3,1,2,3,0,0,0,0
locomotion,locomotion_surfing.png,50.0,0,5,0,0,3,2,0,4,1,1,4,0,0,0,0
locomotion,locomotion_skydiving.png,50.0,1,2,2,2,2,1,2,2,1,2,3,0,1,1,2
cleaning,cleaning_washing_car.png,50.0,1,4,0,2,3,0,5,0,0,1,4,0,0,3,0
food,food_drinking_glas.png,50.0,1,1,3,1,3,1,0,5,0,1,4,0,0,0,0
cleaning,cleaning_hoovering.png,50.0,1,1,3,1,4,0,1,3,1,2,3,0,1,1,1
hobby,hobby_kicking_football.png,50.0,4,1,0,1,3,1,2,3,0,3,2,0,0,0,0
food,food_eating_chopsticks.png,50.0,2,0,3,0,4,1,1,3,1,1,4,0,1,0,0
communication,communication_thumbsUp.png,50.0,5,0,0,0,5,0,1,3,1,1,4,0,5,1,0
communication,communication_crawling.png,50.0,4,1,0,3,2,0,1,4,0,4,1,0,4,1,0
locomotion,locomotion_rollerskating.png,50.0,1,0,4,2,1,2,1,3,1,2,3,0,0,0,1
hobby,hobby_playing_basketball.png,50.0,3,1,1,3,1,1,2,3,0,2,3,0,0,0,3
food,food_mixing.png,50.0,1,2,2,2,3,0,0,3,2,1,4,0,0,0,0
cleaning,cleaning_making_bed.png,50.0,4,0,1,0,5,0,1,3,1,2,3,0,1,1,0
cleaning,cleaning_doingLaundry.png,50.0,3,1,1,2,2,1,3,2,0,3,2,0,1,2,0
locomotion,locomotion_skijetting.png,50.0,2,3,0,4,1,0,3,0,2,2,3,0,0,2,2
food,food_baking.png,50.0,3,0,2,2,2,1,3,0,2,1,4,0,3,1,1
communication,communication_punching.png,50.0,3,0,2,0,5,0,0,3,2,2,3,0,1,0,0
locomotion,locomotion_kayaking.png,50.0,0,5,0,2,2,1,1,3,1,4,1,0,0,1,1
cleaning,cleaning_showering.png,50.0,0,5,0,0,4,1,0,4,1,2,3,0,0,0,0
hobby,hobby_playing_baseball.png,50.0,3,0,2,1,4,0,2,0,3,2,3,0,0,1,0
food,food_eating_spoon.png,50.0,5,0,0,5,0,0,2,3,0,1,4,0,5,2,0
communication,communication_typing.png,50.0,3,1,1,0,5,0,4,0,1,2,3,0,1,4,0
hobby,hobby_flying_kite.png,50.0,0,5,0,4,0,1,0,5,0,1,4,0,0,0,2
communication,communication_reading.png,50.0,3,1,1,2,1,2,1,2,2,0,5,0,0,0,0
cleaning,cleaning_cleaning_floor.png,50.0,0,2,3,0,1,4,1,2,2,4,1,0,0,0,0
locomotion,locomotion_running.png,50.0,4,1,0,4,1,0,2,3,0,1,4,0,1,0,3
food,food_grilling1.png,50.0,0,5,0,0,5,0,0,4,1,3,2,0,0,0,0
food,food_smelling.png,50.0,0,2,3,0,3,2,0,3,2,1,4,0,0,0,0
food,food_cutting_zucchini.png,50.0,1,2,2,0,5,0,1,2,2,0,5,0,0,0,0
communication,communication_highfiving.png,50.0,1,3,1,3,2,0,2,2,1,1,4,0,0,0,0
communication,communication_talking.png,50.0,3,2,0,5,0,0,4,1,0,3,2,0,0,1,0
cleaning,cleaning_combing_hair.png,50.0,4,0,1,4,0,1,1,4,0,0,5,0,3,1,0
communication,communication_arguing.png,50.0,3,0,2,4,1,0,2,2,1,1,4,0,1,0,0
hobby,hobby_juggling.png,50.0,1,3,1,2,2,1,3,2,0,2,2,1,0,0,1
cleaning,cleaning_shaving.png,50.0,4,0,1,0,3,2,3,0,2,3,2,0,1,1,0
communication,communication_handshaking.png,50.0,5,0,0,1,4,0,4,0,1,4,1,0,4,3,0
hobby,hobby_dancing.png,50.0,3,1,1,3,1,1,1,4,0,1,4,0,1,1,1
hobby,hobby_eating_hand1.png,50.0,2,3,0,1,3,1,2,2,1,0,5,0,1,0,0
locomotion,locomotion_riding_horse.png,50.0,2,3,0,4,1,0,5,0,0,3,2,0,1,5,1
locomotion,locomotion_climbing.png,50.0,1,4,0,2,2,1,1,4,0,1,4,0,1,0,1
food,food_whisking.png,50.0,2,2,1,2,2,1,3,1,1,2,3,0,0,1,2
locomotion,locomotion_diving.png,50.0,0,5,0,0,5,0,0,5,0,1,4,0,0,0,0
locomotion,locomotion_swimming1.png,50.0,1,2,2,3,0,2,2,2,1,2,3,0,1,1,1
cleaning,cleaning_brushingTeeth.png,50.0,0,0,5,0,5,0,0,3,2,1,4,0,0,0,0
locomotion,locomotion_skiing.png,50.0,3,2,0,4,1,0,5,0,0,3,2,0,3,5,2
cleaning,cleaning_cleaning_window2.png,50.0,2,2,1,1,4,0,3,1,1,1,4,0,0,0,0
